brand,name,tag,sex,price,size,view,buy,like,review,url
슈펜,[슈탠다드] 베이직 캔버스 스니커즈 HPCR3DA01M,"['스니커즈', '캔버스화', '커플운동화', '스니커즈컬렉션', '커플신발', '단화', '커플', '슈탠다드', '슈탠다드스니커즈', '젠더리스']",,"29,900원","[{'(19)Black': ['220', '230', '240', '250', '260', '270', '280']}, {'(10)White': ['220', '230', '240', '250', '260(5개 남음)', '270(5개 남음)', '280']}, {'(15)Gray': ['220', '230', '240', '250', '260', '270', '280']}, {'(26)Light': ['220(4개 남음)', '230', '240(4개 남음)', '250(5개 남음)', '260']}, {'(20)Red': ['230', '240', '250', '260', '270', '280']}, {'(16)Light': []}, {'(36)Light': ['230', '240', '250', '260', '270', '280']}, {'(59)Navy': ['220', '230', '240', '250', '260', '270', '280']}, {'(51)Light': ['220', '230', '240', '250', '260', '270', '280']}, {'(62)Hunter': ['220', '230', '240', '250', '260', '270', '280']}, {'(21)Dark': ['230', '240(3개 남음)', '250(2개 남음)', '260(3개 남음)', '270(5개 남음)', '280']}, {'(95)Two': ['220', '230', '240', '250', '260', '270', '280']}, {'(66)DST': ['230', '240', '250']}]",1.2만 회 이상,7.1천 개 이상,"28,136","17,674",https://www.musinsa.com/app/goods/1094877
캘빈클라인 진,남녀공용 화이트 말모 스니커즈 YM00681 01U / YW00823 YBR,"['풋웨어', '스니커즈']","남성, 여성","132,050원","[{'화이트': ['35(225)', '36(230)', '37(235)', '38(240~245)', '39(250)', '40(255)', '42(265~270)', '43(275)', '44(280)']}]",1.9만 회 이상,3천 개 이상,"15,473",474,https://www.musinsa.com/app/goods/3024528
푸마,테버리스 나이트로 - 블랙:다크 그레이 / 388774-03,"['테버리스', '푸마운동화', '푸마스니커즈', '캐주얼운동화', '푸마러닝', '꿀템', '아울렛', '스포츠패션', '추천상품']","남성, 여성","53,900원","['220', '230', '240', '250', '255', '260']",2만 회 이상,3천 개 이상,"2,181",830,https://www.musinsa.com/app/goods/2808204
포즈간츠,멈멈 C.V 블랙,"['블랙', '스니커즈', '오버솔', '청키', 'CANVAS', '멈멈캔버스', '브랜드위크']","남성, 여성","66,600원","['230', '240']",8.1천 회 이상,3천 개 이상,"19,981","2,109",https://www.musinsa.com/app/goods/1376278
무신사 스탠다드,독일군 스니커즈 Mark2 [화이트],"['운동화', '신발', '기본신발', '캐주얼슈즈', '남녀공용', '커플신발', '슈즈', 'PLUS배송', '플러스배송', '올드머니']","남성, 여성","67,890원","['230', '240', '260', '280']",7.4천 회 이상,1.6천 개 이상,"3,005",397,https://www.musinsa.com/app/goods/3119469
헌터,[WOMEN] 인/아웃 슬립온 - 블랙 WFF1007WWUBLK,[],,"139,000원","['220', '230(5개남음)']",7.8천 회 이상,250 개 이상,"1,616",84,https://www.musinsa.com/app/goods/3598798
밸롭,봄버 에어 화이트,"['화이트', '어글리슈즈', '스니커즈', '여자신발', '남자운동화', '남자신발', '런닝화']",,"55,000원","['봄버에어화이트235', '봄버에어화이트245', '봄버에어화이트250', '봄버에어화이트255260', '봄버에어화이트265', '봄버에어화이트270', '봄버에어화이트275280']",1.9천 회 이상,500 개 이상,"1,375",180,https://www.musinsa.com/app/goods/1193608
힐탑,HT4900-BK 6cm 키높이 스니커즈 라온 블랙 [230~280MM],"['키높이스니커즈', '남자스니커즈', '키높이', '스니커즈', '레더스니커즈', '빈티지', '코트화', '키높이슈즈']","남성, 여성","71,100원","['230', '240', '250', '260', '270', '280']",1.7천 회 이상,250 개 이상,"1,437",79,https://www.musinsa.com/app/goods/2444309
미즈노,MAXIMIZER 26 K1GA240209,"['러닝화', '스니커즈', '맥시마이저', '미즈노러닝화', 'MAXIMIZER']","남성, 여성","63,200원","['225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275']",1.8만 회 이상,1.6천 개 이상,"2,047",411,https://www.musinsa.com/app/goods/3428600
포즈간츠,무스비 블랙,"['무스비', '플랫폼스니커즈', '브랜드위크', '스니커즈', '스니커즈컬렉션']","남성, 여성","52,700원","['240', '250', '260', '280']",4천 회 이상,2.5천 개 이상,"17,551","2,181",https://www.musinsa.com/app/goods/1882089
포즈간츠,뉴 메이저 블랙,"['메이저', '키높이운동화', '블랙운동화', '블랙스니커즈', '남여공용', '브랜드위크', '아울렛']","남성, 여성","41,000원","['240(마지막1개)', '260', '270', '280(3개남음)']",2.8천 회 이상,250 개 이상,"2,018",57,https://www.musinsa.com/app/goods/2761018
아디다스,삼바 OG - 화이트:블랙 / B75806,"['단화', '삼바', '스니커즈', '신발', '운동화', '삼바OG']",,"139,000원","['220', '225', '240', '245', '255', '260', '265', '270', '275', '280', '285', '290']",14.9만 회 이상,1.6만 개 이상,"30,263","5,371",https://www.musinsa.com/app/goods/1163169
푸마,스웨이드 마유 하트 페인트 W - 화이트 / 385967-01,"['스웨이드', '플랫폼', '스웨이드마유', '플랫폼운동화', '스웨이드운동화', '아울렛', '스웨이드컬렉션', '스포츠패션', '추천상품']",여성,"53,900원","['230', '235', '240', '250']",1.8만 회 이상,1.2천 개 이상,963,55,https://www.musinsa.com/app/goods/3381908
러프넥,R.M 002 누베 스니커즈 화이트,"['스니커즈', '단화', '오솔라이트', '유니섹스', '미니멀', '캐주얼', '화이트', '베스트20', '더비&레이스업']",,"92,000원","['225(여)', '230(여)', '235(여)(3개남음)', '245(여)', '250(여)', '260', '275', '280']",750 회 이상,100 개 이상,"1,069",319,https://www.musinsa.com/app/goods/1479309
슈마커,웨버 블락 X 양모 패딩 슬립온 (0085144) WV19082 BB,"['패딩슬립온', '패딩신발', '패딩스니커즈', '방한화', '겨울신발', '데일리', '패딩']","남성, 여성","59,000원","['245', '250(마지막1개)', '255']",3.4천 회 이상,100 개 이상,456,73,https://www.musinsa.com/app/goods/2232092
마이애미프로젝트,1791 스톡턴 소가죽 독일군 스니커즈 제트화이트,"['독일군', '레더', '로우스니커즈', '소가죽', '키높이', '화이트', '캔버스']",,"83,600원","['240', '250', '260', '270', '280']",850 회 이상,100 개 이상,"1,602",488,https://www.musinsa.com/app/goods/1159734
캠프라인,산티아고 로우 공용 하이킹화,[],"남성, 여성","184,000원","[{'블랙': ['230(마지막 1개)', '235(4개 남음)', '240(5개 남음)', '245', '250(3개 남음)', '255(3개 남음)', '260(3개 남음)', '265(5개 남음)', '270(마지막 1개)', '275(2개 남음)', '280(4개 남음)', '285(3개 남음)']}, {'베이지': ['230(2개 남음)', '235', '240', '245(2개 남음)', '250(3개 남음)', '255(3개 남음)', '260(2개 남음)', '265(5개 남음)', '270', '275(4개 남음)', '280(2개 남음)', '285']}]",1.2천 회 이상,100 개 이상,568,59,https://www.musinsa.com/app/goods/2612958
페몬트,dress (dark brown),['DRESS'],남성,"169,000원","['230', '235(5개남음)', '240(5개남음)', '245(5개남음)', '250(4개남음)', '250', '255', '260', '265', '270', '275', '280', '285', '290', '300']",1.1만 회 이상,600 개 이상,"4,235",210,https://www.musinsa.com/app/goods/3156291
널디,젤리그 캔버스 하이 퍼플,"['스니커즈컬렉션', '아울렛']","남성, 여성","35,000원","['230', '235']",1.8천 회 이상,300 개 이상,632,97,https://www.musinsa.com/app/goods/1888365
로스트가든,SUB_F113 Pink,"['스니커즈', '컨템포러리', '스웨이드', '편한신발']",,"255,000원","['39(2개남음)', '40(3개남음)', '41', '42(2개남음)', '43(3개남음)', '44(5개남음)']",5.1천 회 이상,100 개 이상,"1,190",57,https://www.musinsa.com/app/goods/3455686
페몬트,dress (black),['DRESS'],남성,"169,000원","['여성230(4개남음)', '여성235(5개남음)', '여성240', '여성245', '여성250(4개남음)', '250', '255(5개남음)', '260', '265', '270', '275', '280', '285', '290', '300']",1.2만 회 이상,2.0천 개 이상,"5,119","1,017",https://www.musinsa.com/app/goods/3115168
밸롭,봄버 에어 블랙,"['어글리슈즈', '운동화', '스니커즈', '커플운동화', '키높이운동화', '가벼운어글리슈즈', '블랙']",,"55,000원","['봄버에어블랙235', '봄버에어블랙250', '봄버에어블랙255', '봄버에어블랙270', '봄버에어블랙275']",3.7천 회 이상,750 개 이상,"2,002",257,https://www.musinsa.com/app/goods/1193605
커스텀에이드,4.5cm 캔버스 스니커즈 스탠다드(CR0054),"['캔버스', '클래식', '단화', '키높이', '스니커즈', '블랙', '베이식']","남성, 여성","50,150원","[{'블랙': ['230', '240', '250', '260', '280', '290']}]",1.8천 회 이상,1.3천 개 이상,"4,294",646,https://www.musinsa.com/app/goods/2572769
힐탑,HT4395-BK 7cm 키높이 스니커즈 라이키 블랙 [240~280MM],"['블랙', '스니커즈', '키높이스니커즈', '키높이신발', '키높이슈즈']",남성,"62,100원","['240', '245', '250', '255', '260', '265', '270', '275', '280']",2.8천 회 이상,900 개 이상,"2,219",229,https://www.musinsa.com/app/goods/1427548
네스티킥,[FILA X 네스티킥] 보비어소러스99,[],,"69,000원","['230', '240']",1.3천 회 이상,50개 미만,890,92,https://www.musinsa.com/app/goods/1162546
헌터,[WOMEN] 인/아웃 슬립온 - 화이트윌로우 WFF1007WWUWWG,[],,"139,000원","['220', '240', '250(2개남음)']",1.4만 회 이상,550 개 이상,"3,931",129,https://www.musinsa.com/app/goods/3598800
브랜즈,[프리미엄] 에베레스트 5cm키높이 스니커즈,"['키높이', '키높이스니커즈', '키높이신발', '키높이운동화', '화이트스니커즈', '미니멀', '단화', '커먼프로젝트스니커즈', '브랜즈스니커즈', '오솔라이트']","남성, 여성","93,100원","['225', '230', '235(3개남음)', '240(3개남음)', '245(4개남음)', '250', '255', '260', '265(4개남음)', '270', '275', '280', '285(5개남음)', '290']",2천 회 이상,1.1천 개 이상,"4,793","2,145",https://www.musinsa.com/app/goods/1522336
리스펙트,디펜더 캔버스화 신발,"['단화', '리스펙트스니커즈', '리스펙트신발', '캔버스화']",,"24,500원","['230', '235']",500 회 이상,961,961,94,https://www.musinsa.com/app/goods/797643
클레용,5cm 모던 유니섹스 스니커즈 에센셜(CL0032),"['레더', '클래식', '키높이', '화이트', '단화', '플랫폼', '커플', '젠더리스']",,"62,000원","[{'화이트': ['230', '240', '250', '260', '270', '280']}]",2천 회 이상,550 개 이상,"2,412",367,https://www.musinsa.com/app/goods/1367412
수페르가,2750 코투 클래식 beige-raw,"['스니커즈', '캔버스화', '단화', '운동화', 'RAW컬렉션', '코투', '커플신발']",,"33,100원","['220', '225', '230', '240', '245', '255(5개남음)', '260', '265(4개남음)', '270', '275']",800 회 이상,50개 이상,651,52,https://www.musinsa.com/app/goods/1739045
어그,[무료반품] 퍼 카라 스웨이드 슬립온 슈즈(타제트)) W - 1134810SAND,"['어그퍼슬립온', '타제트']",여성,"238,000원","['230', '240']",5.1천 회 이상,750 개 이상,"3,845",161,https://www.musinsa.com/app/goods/3642647
밀레,릿지 업_MXSSB932,"['밀레이스타TV', '이스타TV', '이스타티비', '고프코어']","남성, 여성","128,000원","[{'BLACK(16)': ['235(4개 남음)', '240', '245(4개 남음)', '260', '265', '270(3개 남음)', '275', '285']}, {'Y/BROWN(38)': ['235', '240', '245(2개 남음)', '260(마지막 1개)', '280(마지막 1개)']}, {'D/BROWN(E7)(품절)': []}]",1.9천 회 이상,300 개 이상,"1,730",126,https://www.musinsa.com/app/goods/3085042
아날로그무드,독일군 레더 스니커즈 (화이트),"['신발', '스니커즈', '슈즈', '독일군스니커즈', '스웨이드', '화이트스니커즈', '독일군', '레더']","남성, 여성","48,300원","['230', '240', '250', '260', '270', '280']",3.4천 회 이상,800 개 이상,"2,169",133,https://www.musinsa.com/app/goods/3089737
슈페너,SPB4ACBYS 키높이 독일군 스니커즈 화이트,"['남성스니커즈', '남자스니커즈', '독일군', '독일군스니커즈', '가성비', 'SS스니커즈', 'FW스니커즈', '스니커즈컬렉션', '독일군컬렉션', '아울렛']",남성,"39,500원","[{'화이트': ['250', '255', '260', '265', '270', '275', '280']}]",3.2천 회 이상,350 개 이상,821,59,https://www.musinsa.com/app/goods/2949195
이피티,[무료반품] DIVE (WHITE),"['스니커즈', '운동화', '캔버스화', '키높이', '캔버스', '캔버스운동화', '무신사현대카드']",,"89,000원","['220', '235', '245', '250', '255', '260', '265', '270', '275', '280', '290', '300']",950 회 이상,100 개 이상,"2,749",514,https://www.musinsa.com/app/goods/1507607
터치그라운드,빈티지봄버슬라이드 블랙,"['겨울운동화', '겨울털신발', '남자방한화', '방한화', '블랙', '빈티지', '슬라이드']",,"59,900원","['230', '250', '270', '280', '260(250추천)']",2.1천 회 이상,100 개 이상,"1,129",114,https://www.musinsa.com/app/goods/920242
림트스튜디오,Austin White Leather Sneakers,"['림트', 'LIMT', '레더스니커즈', '화이트스니커즈', '오스틴']","남성, 여성","53,900원","['220(36)', '230(37)', '240(38)']",2.3천 회 이상,950 개 이상,"2,027",264,https://www.musinsa.com/app/goods/1480876
갭,베이직 캔버스(화이트),[],"남성, 여성","39,900원","[{'화이트': ['255', '260']}]",950 회 이상,250 개 이상,"2,038",73,https://www.musinsa.com/app/goods/2306597
힐탑,HT4900-WH 6cm 키높이 스니커즈 라온 화이트 [230~280MM],"['남자신발', '키높이스니커즈', '남자스니커즈', '키높이', '빈티지', '레더스니커즈', '코트화', '키높이슈즈']","남성, 여성","71,100원","['230', '240', '250', '260', '270', '280']",3.5천 회 이상,700 개 이상,"2,836",157,https://www.musinsa.com/app/goods/2444261
디스커버리 익스페디션,마운틴 퓨어 (O/WHITE),"['디스커버리슈즈', '디스커버리신발', '디스커버리운동화', '고어텍스', '어글리슈즈', '고어텍스신발', '마운틴슈즈', '추천상품', 'WEEKLYSALE']","남성, 여성","68,700원",['230'],3.4천 회 이상,350 개 이상,"1,640",90,https://www.musinsa.com/app/goods/2269891
무신사 스탠다드,레더 코트 스니커즈 [화이트],"['테니스화', '로우컷', '단화', '운동화', '유니섹스', '레더컬렉션', '레더', 'PLUS배송', '플러스배송', '홀리데이쿠폰']",,"59,390원","['230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290']",6.5천 회 이상,5.8천 개 이상,"17,920","4,788",https://www.musinsa.com/app/goods/1635193
폴더라벨,뉴하이커 FLFDBF3U11,"['하이커', '스니커즈', '운동화', '뉴하이커', '벌커나이즈', '벌커나이즈드', '어글리슈즈']","남성, 여성","31,900원","[{'(19)Black': ['225', '230']}]",2.9천 회 이상,50개 이상,745,61,https://www.musinsa.com/app/goods/2110268
코닥,코트 챌린저 WHITE,"['스니커즈', 'SNEAKERS', '남자신발', '운동화', '런닝화', '포스', '농구화', '아울렛']","남성, 여성","69,000원","['220', '230', '240', '250', '260', '270', '280']",2.1천 회 이상,150 개 이상,"1,189",84,https://www.musinsa.com/app/goods/2400518
포즈간츠,매치 올 화이트,"['운동화', '스니커즈', '플랫폼', '키높이', '키높이스니커즈', '캔버스화', '데일리신발', '브랜드위크']","남성, 여성","75,650원","['230', '240', '250', '260', '270', '280']",1.7천 회 이상,200 개 이상,"1,108",98,https://www.musinsa.com/app/goods/3066854
디아도라,미토스 280 GB SILVER,[],"남성, 여성","111,300원","['230', '235', '265', '270', '275', '290(마지막1개)']",2천 회 이상,50개 이상,522,58,https://www.musinsa.com/app/goods/2531901
피렌체 아뜨리에,SECOND.A 심플 화이트솔 독일군 스니커즈 2NDF2600W [WHITE],"['독일군스니커즈', '남성스니커즈', '스니커즈', '운동화', '독일군', '독일군운동화', '세컨드아뜨리에']",남성,"87,550원","['240', '250', '260', '270', '280']",1.5천 회 이상,400 개 이상,"2,534",161,https://www.musinsa.com/app/goods/2439475
살로몬 스포츠스타일,XT-6 익스펜스 - 캐세이 스파이스:리자드:버터컵 / L47134000,"['XT-6', 'XT-6익스펜스', '익스펜스', '살로몬스니커즈', '살로몬XT-6익스펜스', '데일리슈즈', '편한신발', 'PLUS배송', '플러스배송', '빠른배송']","남성, 여성","230,000원","['255', '260(4개남음)', '265', '270', '275', '280', '285', '290(5개남음)', '295(3개남음)', '300(2개남음)']",1.7천 회 이상,200 개 이상,998,88,https://www.musinsa.com/app/goods/3079038
데이트립,스웨이드조거 트로사 블랙,"['러닝화', '스니커즈', '신발']",,"18,900원","['220', '230']",500 회 이상,320,320,66,https://www.musinsa.com/app/goods/357270
비씨씨,AA01_IV,"['스니커즈', '러닝화', '운동화', '신발', '운동화추천', '오솔라이트', '신학기추천템', 'AA01', '아울렛']","남성, 여성","53,500원",[{'IVORY': ['230(5개 남음)']}],1.8천 회 이상,350 개 이상,"1,247",144,https://www.musinsa.com/app/goods/2326309
폴로 랄프 로렌,[무료반품] 롱우드 레더 스니커즈 - 화이트,"['폴로스니커즈', '폴로레더스니커즈', '레더스니커즈', '레더운동화', '스니커즈', 'FOOTWEAR', 'PLUS배송', '플러스배송', '빠른배송', '빠른교환']","남성, 여성","189,000원","['220', '230', '240', '250', '260', '270', '280', '290']",2.8천 회 이상,350 개 이상,"8,099",756,https://www.musinsa.com/app/goods/1813904
밸롭,BSR 런닝화 티바트2.0 화이트,"['러닝화', '런닝화', '운동화', '스니커즈', '커플스니커즈', '경량', '화이트', '김선호PICK', '러닝컬렉션', '티바트컬렉션']",,"75,000원","['230', '235240', '245', '250', '255260', '265', '270', '275280', '290']",1.5만 회 이상,6.4천 개 이상,"15,344","2,476",https://www.musinsa.com/app/goods/1798273
버튼서울,남녀 공용 오리지널 독일군 스니커즈 [오프화이트],"['캐주얼스니커즈', '단화', '스니커즈컬렉션', '커플신발', '운동화', '스니커즈', '캐주얼운동화', '젠더리스']","남성, 여성","39,000원","['230', '235', '240(2개남음)', '260', '265']",4.8천 회 이상,2.8천 개 이상,"4,181",641,https://www.musinsa.com/app/goods/3113796
폴더라벨,모스 스니커즈 FLFDDA4U10,"['캐주얼신발', '남자스니커즈', '남자운동화', '스니커즈추천', '단화', '운동화추천', '데일리스니커즈', '캔버스', '스니커즈컬렉션', '벌커나이즈드']","남성, 여성","15,600원","[{'(39)Ivory': ['220', '230(4개 남음)']}]",550 회 이상,50개 미만,622,163,https://www.musinsa.com/app/goods/2749094
호카,[무료반품] (여성) 링컨 3 - 샌드 / 1119396-ERGL,"['호카러닝', '런닝화', '등산화', '링컨', '로드러닝']",여성,"159,000원","['225', '230(5개남음)']",1.6천 회 이상,100 개 이상,477,59,https://www.musinsa.com/app/goods/3417934
디아도라,매직 바스켓 로우 스웨이드 레더 GREEN,"['매직바스켓', '레더']","남성, 여성","59,000원","['230', '235', '265', '285', '290']",6.6천 회 이상,950 개 이상,"2,555",327,https://www.musinsa.com/app/goods/2861523
반스,로우랜드 CC JMP R - (코트) 그린:화이트 / VN0007P2Y9H1,"['로우랜드', '레트로스니커즈', '빈티지스니커즈', '반스스니커즈']","남성, 여성","74,900원","['280(3개남음)', '285', '290(3개남음)', '295(4개남음)', '310(3개남음)']",2.1천 회 이상,200 개 이상,"1,050",64,https://www.musinsa.com/app/goods/3054872
23.65,VERYLIGHT MUSTARD,"['커플운동화', '스니커즈컬렉션', '캐주얼운동화', '신발', '캔버스화', '브랜드위크', '봄신발']","남성, 여성","39,900원","['240', '250', '280']",1.1천 회 이상,150 개 이상,820,71,https://www.musinsa.com/app/goods/3142945
디아도라,스쿼시 레더 GREEN,"['D2153LSP91GNS', 'D2153LSP91', '디아도라운동화', '스니커즈', '디아도라러닝화', '운동화', '디아도라스니커즈', '레더', '스쿼시59000원']","남성, 여성","59,000원","['230', '235', '240', '245', '250', '255', '260', '265', '270', '275(마지막1개)', '280']",3.4천 회 이상,150 개 이상,"1,527",155,https://www.musinsa.com/app/goods/2244447
아디다스,니짜 - 화이트:블랙 / CQ2333,"['니짜', '니짜로우', '니짜스니커즈', '니짜컨버스', '로우탑컨버스', '삼선컨버스', '캔버스', '스니커PT브랜드데이']","남성, 여성","43,500원","['220', '230']",8.3천 회 이상,1.9천 개 이상,"13,159","2,047",https://www.musinsa.com/app/goods/1482852
포즈간츠,몬트 블랙,"['플랫폼', '브랜드위크', '아울렛']","남성, 여성","39,500원",['270'],2.0천 회 이상,200 개 이상,"1,738",122,https://www.musinsa.com/app/goods/2027115
디즈니,미키 체크 슬립온,[],,"24,900원","[{'블랙': ['230', '235', '240']}]",1.2천 회 이상,200 개 이상,613,113,https://www.musinsa.com/app/goods/2168265
커버낫,커버 네이비,"['스니커즈', '캔버스', '캔버스화', '운동화', '신발', '아울렛', '클리어런스특가']","남성, 여성","31,600원","['230', '240', '250', '260', '270', '280']",1.1천 회 이상,300 개 이상,"5,319",747,https://www.musinsa.com/app/goods/1784049
23.65,VC WHITE,"['봄신발', '스니커즈', '운동화', '캐주얼운동화']","남성, 여성","49,900원",['270'],6.8천 회 이상,350 개 이상,"4,323",97,https://www.musinsa.com/app/goods/2850868
어더스,시그니 샌드,"['스웨이드신발', '스웨이드운동화', '릿지화', '트래킹화', '트래킹슈즈', '고프코어', '고프코어신발', '23FW신상품', '블록코어']",,"87,200원","['260', '270', '280']",5.4천 회 이상,100 개 이상,"2,641",53,https://www.musinsa.com/app/goods/3576723
프로-스펙스,[무료반품] 스펙터 102,"['스펙터', '스니커즈', '신발', '스니커즈컬렉션', '운동화']","남성, 여성","76,300원","['230', '235']",1.5천 회 이상,1.7천 개 이상,"2,261",990,https://www.musinsa.com/app/goods/2433728
지프,탱크 체로키 (GK0GHU101BK),"['어글리슈즈', '운동화', '지프신발', '탱크체로키', '패밀리세일', 'WEEKLY']","남성, 여성","74,500원",['230'],4.2천 회 이상,50개 미만,"2,441",409,https://www.musinsa.com/app/goods/995510
글림퍼,프레즐 스틱 베이지,"['스니커즈추천', '키높이스니커즈', 'BESTITEM', '데일리신발', '데일리코디', '키높이', '화이트스니커즈', '스니커즈코디', '여성스니커즈', '베이지스니커즈']",여성,"79,000원","[{'베이지': ['230', '240', '250']}]",2.5천 회 이상,450 개 이상,"3,094",120,https://www.musinsa.com/app/goods/2822268
위더로드,WTRD3601-1 리액트 스퀘어토 스니커즈 아이보리 [230~290mm],"['키높이', '캐주얼스니커즈', '스니커즈추천', '남녀공용', '레더', '스퀘어토', '키높이스니커즈']","남성, 여성","89,100원","['230', '240', '250', '270', '280', '290']",3천 회 이상,200 개 이상,"1,568",74,https://www.musinsa.com/app/goods/3562889
마르디 메크르디 레폼프,PUR LEATHER SNEAKERS_WHITE,['스니커즈&메리제인'],여성,"140,600원","['36', '37', '38', '39(3개남음)']",3.5천 회 이상,1.2천 개 이상,"8,862",225,https://www.musinsa.com/app/goods/2756002
미즈노,MAXIMIZER 25 K1GA230005,"['러닝화', '스니커즈', '맥시마이저', '미즈노러닝화', 'MAXIMIZER', '젠더리스']","남성, 여성","63,200원","['230', '235', '240', '245', '250', '260', '265', '270', '275', '280', '285', '290', '300(3개남음)']",2.3만 회 이상,2.1천 개 이상,"3,784",521,https://www.musinsa.com/app/goods/3428602
컨버스,원스타 프로 클래식 스웨이드 팬텀 바이올렛  A05318C,"['캐주얼스니커즈', '스니커즈', '신발', '캔버스화', '캔버스', '원스타', 'NEWARRIVAL']",,"69,300원","['265', '270', '275', '280', '300']",1.1만 회 이상,650 개 이상,"11,498",229,https://www.musinsa.com/app/goods/3526711
푸마,푸마 클럽 SD FS - 화이트:그레이 / 386804-01,"['푸마스니커즈', '푸마운동화', '푸마클럽스니커즈', '푸마클럽', '플러스배송', '빠른배송', '빠른교환', '빠른환불']","남성, 여성","39,900원","['220', '225', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '295', '300']",7.2천 회 이상,4.2천 개 이상,"12,498","2,217",https://www.musinsa.com/app/goods/2120895
반스,웨이비 - (스케이트) 블랙:화이트 / VN0A5JIAY281,"['웨이비', '스케이트화', '보드화', '스케이트보드화', '스케이트라인', '아울렛', '추천상품']","남성, 여성","39,900원",['215(마지막1개)'],5.2천 회 이상,200 개 이상,941,72,https://www.musinsa.com/app/goods/2666871
23.65,ROI BROWN,"['어글리슈즈', '아웃도어신발', '코듀라', '레더', '스니커즈', '편한신발', '스니커즈추천', '겨울신발', '23FW']","남성, 여성","69,900원","['230', '240', '250', '260', '270', '280']",1.0만 회 이상,250 개 이상,"2,714",80,https://www.musinsa.com/app/goods/3614418
휠라,디사이퍼 바이 버딕트 1998(1RM01786E919),"['22SS', '30%할인', '러닝컬렉션']","남성, 여성","49,000원","[{'Beige/White/Grey': ['220', '230']}]",1.7천 회 이상,100 개 이상,"1,060",77,https://www.musinsa.com/app/goods/2332994
클라시코,빈티지 코트 FLCCCF3U07,"['빈티지코트', '고프코어', '아메카지', '코트화', '오트리스니커즈', '운동화', '테니스', '스니커즈컬렉션']","남성, 여성","29,900원","[{'(BC)OFF': ['220(5개 남음)', '270']}]",1.1만 회 이상,750 개 이상,"3,780",295,https://www.musinsa.com/app/goods/2845071
내셔널지오그래픽,[무료반품] 트리핀 라이노(TRIPPIN RHINO) BLACK,"['어글리슈즈', '트리핀라이노', '트리핀', '추천상품']",,"59,500원","[{'BLACK': ['230', '235']}]",1.4만 회 이상,300 개 이상,"6,419","1,216",https://www.musinsa.com/app/goods/1092198
오찌,리오 빈티지 코트 FLOTCF3U07,"['편한신발', '방한화', '스니커즈', '겨울스니커즈', '단화', '스니커즈추천', '겨울신발', '리오코트']","남성, 여성","35,500원",[{'(10)White': ['270']}],5.8천 회 이상,450 개 이상,"2,150",148,https://www.musinsa.com/app/goods/2728339
아식스,[무료반품] 젤-1130 - 피드몬트 그레이:시트 락 / 1201A255-022,"['젤', '젤1130', '젤운동화', '젤스니커즈', '아식스젤시리즈', '런닝화', '러닝화', '패션스니커즈']","남성, 여성","109,000원","['230', '235', '260', '265', '270', '275', '280', '285', '290', '300']",4.2만 회 이상,1.7천 개 이상,"6,766",468,https://www.musinsa.com/app/goods/2553716
마르디 메크르디 레폼프,ECLORE SNEAKERS_BLACK,"['마르디메크르디', '스니커즈&메리제인']",여성,"77,900원","['36', '37', '38', '39']",9.4천 회 이상,650 개 이상,"3,086",172,https://www.musinsa.com/app/goods/2445262
뉴발란스,NBPDDB736G / ML725P (GRAY),"['운동화', '러닝화', '스니커즈', '런닝화', '725', '725&878', '젠더리스', '설쁘', 'ML725']","남성, 여성","129,000원","[{'(15)GREY': ['240', '245', '255', '270', '275', '280', '290']}]",10.7만 회 이상,7.4천 개 이상,"31,347","3,151",https://www.musinsa.com/app/goods/2252756
푸마,[무료반품] 테버리스 나이트로 - 화이트:아이보리 / 388774-06,"['푸마운동화', '푸마스니커즈', '테버리스', '테버리스나이트로', '푸마테버리스', '푸마러닝', '아울렛', '스포츠패션', '추천상품']","남성, 여성","53,900원",['220'],8.2천 회 이상,1.7천 개 이상,"4,352",563,https://www.musinsa.com/app/goods/2768319
아식스,[무료반품] 조그 100 S SMU (2E) - 시트 락:퓨어 실버 / 1201A773-020,"['조그100', '조그100S', '아식스조그', '아식스조그100', '아식스무신사', '러닝화', '런닝화', '무신사SMU컬렉션', '패션스니커즈', '블록코어']","남성, 여성","79,000원",['290'],5.6만 회 이상,"19,421","19,421","3,320",https://www.musinsa.com/app/goods/2410974
박스앤콕스,포르투나 레더   올블랙 메탈릭골드,"['여성', '남성', '출근룩', '스니커즈', '신발', '운동화', '골드', '레더']","남성, 여성","55,200원","['230', '240', '250', '280']",1.0천 회 이상,150 개 이상,738,100,https://www.musinsa.com/app/goods/2594580
마이애미프로젝트,2099 베인 베이직 소가죽 독일군 스니커즈 빈티지화이트,"['독일군', '로우스니커즈', '마프', '키높이', '캔버스', '캔버스운동화', '빈티지']",남성,"90,400원","['250(끈2종)', '260(끈2종)', '270(끈2종)', '280(끈2종)']",600 회 이상,150 개 이상,"2,566",580,https://www.musinsa.com/app/goods/1476267
무신사 스탠다드,독일군 스니커즈 Mark2 [베이지],"['운동화', '신발', '기본신발', '캐주얼슈즈', '남녀공용', '커플신발', '슈즈', 'PLUS배송', '플러스배송']","남성, 여성","79,900원","['240', '280(2개남음)']",2.6천 회 이상,400 개 이상,"1,133",121,https://www.musinsa.com/app/goods/3119470
