brand,name,tag,sex,price,size,view,buy,like,review,url
엠엘비,[무료반품] 청키 라이너 (CHUNKY LINER) NY (L.Grey),"['운동화', '스니커즈', '운동화추천', '스니커즈추천', '신발', '청키라이너']","남성, 여성","139,000원","['230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280']",2.8천 회 이상,1.4천 개 이상,"14,407",898,https://www.musinsa.com/app/goods/2638808
살로몬 스포츠스타일,[무료반품] RX 스너그 - 빈티지 카키:블랙:팔콘 / L47282500,"['스너그', 'RX스너그', '겨울슈즈', '방한슈즈', '윈터슈즈', '편한신발', '데일리슈즈', '보온신발']","남성, 여성","138,000원","['220(마지막1개)', '225(4개남음)', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '295', '300']",6.3천 회 이상,100 개 이상,460,50,https://www.musinsa.com/app/goods/3640080
리복,클럽 C 85 빈티지 - 크림 / DV6434,"['클럽C', '스니커즈', '운동화', '헤리티지', '클럽C85', '젠더리스']","남성, 여성","109,000원","['225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '300']",9.6천 회 이상,8.3천 개 이상,"20,846","3,483",https://www.musinsa.com/app/goods/2741233
컨버스,척70 빈티지 캔버스 오리진 스토리 A05586C,"['척70', '시즈널컬러', 'NEWARRIVAL']",,"66,500원","['220', '225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '295(4개남음)', '300']",5.8천 회 이상,250 개 이상,"1,206",62,https://www.musinsa.com/app/goods/3567513
반스,올드스쿨 오버트 CC - 화이트 / VN0A7Q5EWHT1,"['올드스쿨', '오버트CC', '플랫폼', '플랫폼스니커즈', '반스플랫폼', '아울렛', '추천상품']","남성, 여성","34,900원",['290(5개남음)'],5.6만 회 이상,2.8천 개 이상,"5,088",761,https://www.musinsa.com/app/goods/2755797
오니츠카타이거,멕시코 66 VIN 1183B391_202,"['MEXICO66VIN', '212317043', '1183B', '멕시코66VINSD']",,"200,000원",['290(2개남음)'],2.1천 회 이상,200 개 이상,"3,156",82,https://www.musinsa.com/app/goods/3495703
아식스,[무료반품] 조그 100 2 (4E) - 블랙:블랙 / TJG138-9090,"['어글리슈즈', '조그', '조그100', '러닝화', '런닝화', '러닝스니커즈', '블랙', 'PLUS배송', '플러스배송', '패션스니커즈']","남성, 여성","79,000원",['220'],5.3만 회 이상,2.8만 개 이상,"76,560","34,629",https://www.musinsa.com/app/goods/969541
무신사 스탠다드,레더 코트 스니커즈 [블랙],"['테니스화', '로우컷', '운동화', '유니섹스', '레더컬렉션', 'PLUS배송', '플러스배송', '올드머니', '레더', '홀리데이쿠폰']",,"69,900원","['230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290']",4천 회 이상,1.4천 개 이상,"3,834","1,145",https://www.musinsa.com/app/goods/1635191
반스,[무료반품] 올드스쿨 - (피그 스웨이드) 더글라스 / VN0007NTBXU1,"['올드스쿨', '피그스웨이드', '스웨이드운동화', '스웨이드스니커즈']","남성, 여성","95,000원","['215(4개남음)', '230(마지막1개)', '235', '245', '250', '275(마지막1개)', '280(2개남음)', '285(2개남음)', '295(2개남음)', '300(마지막1개)', '310(4개남음)']",1.6만 회 이상,400 개 이상,"1,931",90,https://www.musinsa.com/app/goods/3508598
엄브로,SNUG (스너그) 베이지(UO423EMUO3),"['뮬스니커즈', '스니커즈', '뮬', '슬리퍼', '털슬리퍼', '코듀로이', '뽀글이', '엄브로×무진장']","남성, 여성","89,000원","[{'BEI0_BEIGE': ['220', '230', '240', '250', '260', '270', '280']}]",1.6천 회 이상,50개 미만,475,81,https://www.musinsa.com/app/goods/2122998
